iter	Passed	Remaining
405	6197	9066
406	6199	9033
407	6202	8999
408	6204	8965
409	6207	8932
410	6207	8896
411	6210	8863
412	6213	8830
413	6215	8798
414	6218	8765
415	6220	8733
416	6223	8700
417	6225	8668
418	6228	8637
419	6231	8605
420	6234	8574
421	6236	8542
422	6239	8511
423	6242	8479
424	6244	8448
425	6247	8417
426	6249	8386
427	6252	8355
428	6254	8325
429	6257	8294
430	6259	8264
431	6262	8233
432	6264	8203
433	6267	8173
434	6269	8143
435	6272	8113
436	6275	8084
437	6277	8054
438	6280	8025
439	6282	7996
440	6285	7966
441	6287	7937
442	6290	7908
443	6292	7879
444	6294	7851
445	6297	7822
446	6300	7793
447	6302	7765
448	6306	7738
449	6309	7711
450	6312	7684
451	6315	7656
452	6317	7628
453	6321	7601
454	6324	7574
455	6327	7548
456	6330	7521
457	6333	7494
458	6336	7468
459	6339	7442
460	6342	7416
461	6346	7390
462	6349	7364
463	6352	7338
464	6355	7312
465	6358	7286
466	6362	7261
467	6364	7235
468	6367	7209
469	6371	7184
470	6374	7159
471	6377	7134
472	6381	7109
473	6384	7084
474	6387	7059
475	6390	7034
476	6393	7009
477	6396	6985
478	6399	6960
479	6402	6935
480	6405	6911
481	6408	6887
482	6411	6862
483	6414	6838
484	6417	6814
485	6420	6790
486	6423	6766
487	6426	6742
488	6429	6718
489	6432	6694
490	6434	6670
491	6437	6646
492	6440	6623
493	6443	6600
494	6446	6576
495	6448	6552
496	6451	6529
497	6454	6506
498	6457	6483
499	6460	6460
500	6463	6437
501	6466	6414
502	6467	6390
503	6470	6367
504	6473	6344
505	6476	6322
506	6478	6299
507	6481	6277
508	6484	6255
509	6487	6232
510	6490	6210
511	6493	6188
512	6496	6166
513	6499	6145
514	6502	6123
515	6505	6101
516	6508	6080
517	6511	6058
518	6514	6037
519	6517	6016
520	6520	5994
521	6523	5973
522	6526	5952
523	6529	5931
524	6532	5910
525	6535	5888
526	6537	5867
527	6540	5847
528	6543	5826
529	6546	5805
530	6549	5784
531	6552	5764
532	6555	5743
533	6558	5723
534	6561	5702
535	6564	5682
536	6567	5662
537	6570	5642
538	6573	5621
539	6575	5601
540	6578	5580
541	6580	5560
542	6583	5540
543	6586	5521
544	6590	5501
545	6593	5482
546	6596	5462
547	6598	5442
548	6601	5423
549	6604	5403
550	6607	5383
551	6609	5364
552	6612	5344
553	6614	5325
554	6617	5305
555	6619	5286
556	6622	5267
557	6625	5247
558	6627	5228
559	6630	5209
560	6632	5190
561	6635	5171
562	6637	5152
563	6640	5133
564	6643	5114
565	6646	5096
566	6648	5077
567	6651	5058
568	6654	5040
569	6656	5021
570	6659	5003
571	6661	4984
572	6664	4966
573	6667	4948
574	6670	4930
575	6673	4912
576	6675	4893
577	6678	4875
578	6680	4857
579	6683	4839
580	6686	4821
581	6688	4803
582	6691	4786
583	6694	4768
584	6696	4750
585	6699	4732
586	6701	4715
587	6704	4697
588	6706	4679
589	6709	4662
590	6711	4644
591	6714	4627
592	6716	4610
593	6719	4592
594	6722	4575
595	6724	4558
